"id","single_category","title"
"100","13","Vettiver Malai-  2 Feet"
"101","11","Vetiver Mala | Vetiver Garland (1.5 Ft)"
"102","13","Shell Craft Five Finger Pen Stand with Wooden Base | Shankh Pen Stand"
"103","16","Brass Shankh Chakra Diya Lamp Pair with Hanging Chain | Brass Sangu Chakra Vilakku"
"104","13","Narmadeshwar Lingam Locket - Brown | Narmadeshwar Shiv Lingam Pendant"
"105","16","Brass Vishnu Shankh Chakra Diya Set (9 Inch)"
"106","6","Panchaloha Trishul Bracelet | Panchaloha Trishool Kappu"
"107","6","Shiva Linga and Nandhi Bracelet | Panchalogam Shiva Linga and Nandhi Kaapu (Adjustable For Men And Women) Type 1"
"108","6","Rudraksha Gems Energy Bracelet with Certificate (ID 479)"
"109","6","Panchaloha Om and Vel Bracelet | Om Vel Kappu"
"110","6","Rudraksha Gemstone Bracelet with Certificate "
"111","6","Rudraksha Gemstone Bracelet with Certificate"
"112","6","Panchaloha Vel Bracelet | Panchaloha Murugan Vel Kappu"
"113","6","Copper Bracelet | Copper Kappu/Kada"
"114","6","Rudraksha Gemstone Bracelet with Certificate (ID 478)"
"115","6","Panchaloha Rudraksha Shiva Lingam Trishul Bracelet"
"116","6","Panchaloha Lion Face Bracelet | Lion Kappu"
"117","6","Panchaloha  Vel Bracelet |  Vel Kappu "
"118","6","Panchaloha Vel and Lingam Bracelet | Murugan Vel and Lingam Kappu"
"119","6","Panchaloha Shiva Trishul Bracelet with Damru Design | Shiva Trishul Om Kada"
"120","6","Shiva Trishul with Rudraksha in Damru Bracelet (Oxidised Silver) | Silver Bahubali Kada"
"121","6","Panchaloha Trishul with Rudraksha Beads Bracelet | Thrisool with Ruthracha Beads Kappu"
"122","3","Sai Baba Photo Frame (14*10 inch)"
"123","8","Maha Meru Shree Yantra (Mixed Metal) |  Meru Shri Yantra"
"124","8","Mercury Meru Shree Yantra | Parad Meru Shree Yantra"
"125","3","Lord Shiva Parvati, Ganesha and Murugan Laminated Photo Frame (13.5*10 inch)"
"126","3","Lord Ganesh with Lakshmi and Saraswati Laminated Photo Frame (5.9*8 inch)"
"127","8","Black Shaligram Stone"
"128","8","White Shaligram Stone"
"129","3","Swamy Balaji Laminated Photo Frame | Venkateswara Photo Frame (13.7*10.3 inch)"
"130","3","Lord Buddha Photo Frame ( 13.5*19.4 inch)"
"131","8","Vetiver Sun Mask | Vastu Sun Mask"
"132","8","Copper Vastu Pyramid Yantra"
"133","3","Lord Buddha Photo Frame with Sunrise (13.5*19.4 inch)"
"134","8","Shaligram Stone - Color"
"135","3","Lord Balaji Ashta Lakshmi Photo Frame ( 13.5*10.3 inch)"
"136","8","Shaligram Stone - White and Black"
"137","3","Lord Buddha Meditation Photo Frame - Vertical | Buddha Photo (18*13 inch)"
"138","3","Kamdhenu Laminated Photo Frame | Kamdhenu Cow with Calf Frame (13.5*10.3 inch)"
"139","31","Murugan Laminated Photo Frame (13.8*10.5 inch)"
"140","8","Raja Gomti Chakra | Raja Gomati chakra"
"141","30","7 Horse Running with Sunrise Laminated Photo Frame (13.7*19.7 inch) - Model 1"
"142","8","Gomti Chakra Tree With Rudraksha Beads Flower"
"143","8","Vastu Copper Tortoise with Copper Plate, Gomti Chakra and Lakshmi kubera coin (1+1+5+1)"
"144","33","Ashta Lakshmi Laminated Photo Frame | AshtaLaxmi Photo Frame (13.5*10.3 inch)"
"145","8","Meru Shree Yantra (Mixed Metal)"
"146","3","Kan Thirusti  Vinayagar Laminated Photo Frame | Kan Drishti Ganapathy Frame (7.5*5.5 inch)"
"147","30","7 Horse Running with Moon Light Photo Frame (13.7*19.6 inch) - Model 2"
"148","8","Navaratna Mixed Gemstone Tree | Chakra Gemstone Crystal Tree "
"149","33","Lakshmi Laminated Photo Frame | Maha Lakshmi Photo Frame ( 7.9*5.9 inch)"
"150","33","Kubera Lakshmi Laminated Photo Frame | Kuber Laxmi Photo Frame ( 8.3*6.2 inch)"
"151","8","Brass Vastu Pyramid (1 Inch)"
"152","8","Brass Vastu Pyramid (2 Inch)"
"153","3","Kamdhenu Laminated Photo Frame | Kamdhenu Cow with Calf Frame (8*6 inch)"
"154","7","Panchmukhi Rudraksha Kantha Mala with Vilva Beads | Five Face Rudraksha Mala with Bilva Beads (54 + 54 Beads)"
"155","3","Ashta Lakshmi Yantra  &  Kamdhenu Laminated Photo Frame"
"156","2","Vellerukku Vinayagar - Three Face"
"157","5","Yellow Hakik Mala(108 Beads, 8mm)"
"158","2","Vellerukku Vinayagar Statue (5 * 1.5 inch)"
"159","5","Sphatik  Mala with Copper String (54+1 Beads, 8mm)"
"160","12","Rudraksha Sphatik Mala With Silver String (27+27 Beads)"
"161","2","Mercury Vinayagar | Parad Ganesha Idol (1.5 * 1 inch)"
"162","5","Red Chandan Mala (108 Beads, 8mm) "
"163","2","Decorative Vinayagar Idol | Ganesha Idol for Car Decor - Green"
"164","2","Decorative Vinayagar Idol | Ganapati Idol - White"
"165","5","Om Stone Mala (108 Beads, 8mm)"
"166","12","Rudraksha Mala With Silver String (54+1 Beads, 10 mm)"
"167","5","Sun Stone Mala (108 Beads, 8 mm)"
"168","2","Navadhanya Ganesha | 9 Grains Ganapati (5.5 * 4 inch)"
"169","5","Gomti Chakra Mala  (35 Beads)"
"170","5","Rudraksha Sphatik Mala (108 Beads, 8mm)"
"171","2","Vinayagar Sangu | Ganesh Shankh | Conch (5 * 2 inch)"
"172","2","Coconut Ganesha | Coconut Vinayagar | Coconut Pillayar Idol"
"173","5","Lotus Mala | Thamarai Mani Malai (54 Beads)"
"174","2","Wooden Ganesha Idol (4 * 2 inch )"
"175","5","Sri Lakshmi Narayana Shaligram Stone Mala | Shaligram Stone Mala (108 Beads, 8mm)"
"176","7","12 Face Rudraksha | 12 Mukhi Rudraksha"
"177","5","Putra Jeeva Mala - 108 Beads"
"178","7","13 Face Rudraksha | 13 Mukhi Rudraksha"
"179","2","Vetiver Vinayagar (5.5 * 3.5 inch)"
"180","5","Tiger Eye Stone Mala  (108 Beads, 6 mm)"
"181","7","5 Face Rudraksha Bracelet | 5 Mukhi Rudraksha Bracelet (21 Beads, 10 mm)"
"182","5","Sphatik  braclet (27 beads)8 mm"
"183","2","Emerald Ganesha Idol | Green Ganesha Idol | Ganapathi Statue"
"184","5","Chandan Mala with Copper String (108 Beads, 8mm)"
"185","5","Tiger Eye Stone Mala (108 Beads, 8 mm) "
"186","5","White Tulsi Mala | Tulasi Malai ( Model 1 ) "
"187","7","11 Face Rudraksham | 11 Mukhi Rudraksham"
"188","2","Vellerukku Vinayagar - Five Face | Five Face Vinayagar Statue"
"189","9","Copper Karya Siddhi Yantra (3*3 Inch)"
"190","9","Shri Yantra Laminated Photo Frame (11*11 inch)"
"191","9","Copper Sudarshana Yantra"
"192","9","Siddh Sampoorna Vastu Dosh Nivaran Yantra Laminated Photo Frame (11*11inch)"
"193","9","Shri Ashta Lakshmi Yantra | Ashta Lakshmi Shree Yantra Laminated Photo Frame (11*11 inch)"
"194","9","Shri Kuber Yantra Laminated Photo Frame (7*7 inch)"
"195","9","Shri Sampoorna Yantra Laminated Photo Frame (11*11 inch)"
"196","9","Shree Ashta Lakshmi Yantra Laminated Photo Frame (7*5 inch)"
"197","7","Rudra Shakti Mala | Shiva Shakti Rudraksha Mala"
"198","9","Shri Sampoorna Navgrah Yantra Laminated Photo Frame (7*7 inch)"
"199","9","Copper Lakshmi Kubera Dhanakarshana Yantra (5*4 inch)	"
"200","9","Copper Drishti Yantra (6*6 inch)"
"201","7","1 Face Half Moon Rudraksha Pendant | 1 Mukhi Half moon Rudraksha"
"202","7","1008 Rudraksha Mala - 5 Face | 5 Face Rudraksha Mala"
"203","9","Copper Matsya Yantra (3*3 inch)"
"204","9","Siddh Sampoorna Vastu Dosh Nivaran Yantra Laminated Photo Frame (7*7 inch)"
"205","9","Copper Angaragan Yantra (3*3 inch)"
"206","9","Copper Budh Yantra (3*3 inch)"
"207","9","Copper Chandra Yantra (3*3 inch)"
"208","9","Shri Ketu Yantra - Copper (3*3 inch)"
"209","9","Shri Guru Yantra Copper (3*3 inch)"
"210","9","Shri Rahu Yantra Copper (3*3 inch)"
"211","9","Shri Shani Yantra Copper (3*3 inch)"
"212","9","Shri Anjaneya (Hanuman) Pooja Upasana Yantra - Copper (3*3 inch)"
"213","9","Copper Vastu Yantra (3*3 inch)"
"214","9","Shri Yoga Hayagriva Yantra | Hyagreevar Yantra Copper (3*3 inch)"
"215","9","Shri Sampoorna Vastu Yantra Laminated Photo Frame (7*7 Inch)"
"216","9","Shri Sampoorna Yantra Laminated Photo Frame (7*7 inch)"
"217","9","Copper Shukra Yantra | Venus Yantra Copper (3*3 inch)"
"218","9","Shri Yantra Laminated Photo Frame (7*7 inch)"
"219","7","Rudraksha Health Kavach with Red Rope"
"220","7","Rudraksha Seed (One Seed)"
"221","7","Rudraksha Mala with White Metal Caps (6 mm)"
"222","9","Shri Sampoorna Kuber Yantra"
"223","9","Shri Sampoorna Lakshmi Ganesh Yantra"
"224","9","Copper Dhanvantri Bhagavan Yantra (3*3 inch)"
"225","7","5 Face Rudraksha | Panchmukhi Rudraksha (30 mm)"
"226","9","Shri Sampoorna Sarv Kasht Nivaran Yantra Laminated Photo Frame (7*7 inch)"
"227","7","6 Face Rudraksha | 6 Mukhi Rudraksha"
"228","7","Panchamuki Rudraksha - 5 face | 30 mm"
"229","7","4 Face Rudraksham | 4 Mukhi Rudraksham"
"230","7","10 Face Rudraksham | 10 Mukhi Rudraksham"
"231","7","8 Face Rudraksham | 8 Mukhi Rudraksham"
"232","7","9 Face Rudraksham | 9 Mukhi Rudraksham"
"233","7","7 Face Rudraksha | 7 Mukhi Rudraksha"
"234","12","5 Face Rudraksham with Silver Cap | Panchmukhi Rudraksham (20 mm)"
"235","7","Rudraksha Vilva Mala | Ruthratcha Vilva Mala"
"236","10","Oyster Shaped Kumkum Box"
"237","4","Varalakshmi Amman Face | Varalakshmi Pooja Idol - Plain (Medium)"
"238","4","Punugu, Aragaja, and Javadhu (Attar) | Divine Incense Set"
"239","4","Peacock Eye Gomti Chakra Kit ( Peacock Eye Gomti Chakra (5) + Sriphal (1) + Vinayagar Eye + Kubera Coin + Copper plate)"
"240","4","Velvet Prayer Mat | Velvet Mat for Pooja (18*20.3 Inch)"
"241","10","Brass Kalash Set | Kumba Kalasam - Large"
"242","7","Saraswathi Kavach (Two 4 face & one 6 face Rudraksha)"
"243","10","Brass Dhoop Burner | Brass Loban Burner | Brass Sambrani Stand"
"244","5","Sphatik  Mala Silver String - (54+1 Beads)"
"245","7","Panchmukhi Kantha Mala (108 Beads)"
"246","7","2 Face Rudraksham | 2 Mukhi Rudraksham"
"247","4","Darbha Mat with Karungali Stick Combo"
"248","4","Darbha Mat with Design (Tortoise Design)"
"249","4","Darbha Mat with Cotton Bag (Yoga Mat and Meditation Mat)"
"250","4","Varalakshmi Amman Face | Varalakshmi Pooja Idol - Plain (Large)"
"251","4","Darbha Mat | Darbha Yoga Mat (29*20.5 inch)"
"252","4","Sai Baba Statue | Shirdi Sai Baba Idol - White"
"253","4","Lakshmi Kubera Statue | Kubera Lakshmi Statue - Gold Color (Small)"
"254","10","Brass Kalpavriksha Tree | Kalpaviruksha Tree - Small"
"255","4","Velvet Prayer Mat | Velvet Pooja Mat (24.5 Inch) "
"256","4","Gomti Chakra Original with Sriphal, Lakshmi Gavvalu Cowrie and Copper Plate (5+1+2+1)"
"257","4","Shaligram Stone | Maha Vishnu Shaligram"
"258","4","Darbha Mat | Color Darbha Mat (22*28 Inch)"
"259","8","Gomti Chakra Tree with Rudraksha Beads Flower (100 Beads)"
"260","4","Laughing Kubera Statue ( 3.5*2.5 Inch)"
"261","4","Kubera Kumkum Green | Thazhampoo KumKum with Fancy Box and Kubera Coin (50 gms)"
"262","4","Lakshmi Kubera Statue | Kubera Lakshmi Statue - Green (Large)"
"263","4","Maharaja Gomati Chakra"
"264","4","Lakshmi Kubera Statue | Kubera Lakshmi Statue - Green (Small)"
"265","4","Black Dhoti Set (Dhoti -1, Towel-1) | Ayyappan Black Dhoti"
"266","4","Automatic Pooja Bell | Electric Pooja Bell"
"267","4","Sriphal and Lakshmi Coin with Copper Plate (5+1+1)"
"268","4","Darbha Mat | Darbha Grass Meditation Mat"
"269","4","Brass Kalash Set | Kumba Kalasam "
"270","4","Sai Baba Statue | Shirdi Sai Baba Idol - Color"
"271","19","Brass Pratyangira Devi Statue"
"272","19","Brass Mariamman Statue with Arch | Mariamman Idol with Thiruvachi"
"273","19","Brass RajaRajeswari Statue With Thiruvachi"
"274","19","Brass Varahi Amman Statue | Amman Idols"
"275","19","Brass Kamakshi Amman Statue with Arch | Kamatchi Amman Idol with Thiruvachi"
"276","19","Brass Balambigai Devi Statue | Balambika Idol Brass (4.5 inch)"
"277","19","Brass Karumari Amman Statue with Arch | Karumariamman Idol"
"278","19","Brass Rajarajeshwari Statue |  Rajarajeswari Amman Idol"
"279","19","Brass Lakshmi Devi Statue | Lakshmi Idol"
"280","19","Brass Kamakshi Amman Statue | Kamatchi Amman Idol"
"281","19","Brass Karumari Amman Statue | Mariamman Idol"
"282","19","Brass Balambigai Devi Statue | Balambigai Amman Idol "
"283","1","Blackwood Trishul | Karungali Trishul (9 inch)"
"284","1","Blackwood Murugan Stand Vel | Karungali Stand Vel (3 inch)"
"285","10","Brass Shivling with Nandi | Brass Shiva Lingam with Nandi"
"286","1","Blackwood Stick | Karungali Stick (24 Inch)"
"287","6","Panchaloha Shiva Lingam and Nandi Bracelet | Panchaloga Sivalingam and Nandhi Kappu (Adjustable type)"
"288","1","Blackwood Trishul | Karungali Trishul (12 inch)"
"289","1","Black Wood Lingam Locket | Karungali Lingam Locket with Silver"
"290","1","Blackwood Lakshmi Statue | Karungali Lakshmi Idol"
"291","9","Sri Navagraha Yantra Copper"
"292","4","Darbha Sleeping Mat (40*72 inch)"
"293","1","Black Wood Saraswati Statue | karungali Saraswathi Idol"
"294","6","Panchaloga-Vel and Lingam  Bracelet Adjustable For Men And Women "
"295","16","Brass Kubera Lamp"
"296","1","Blackwood Krishna Statue | Karungali Krishnar Idol"
"297","33","Varahi Amman Laminated Photo Frame (12.6*10.6 Inch)"
"298","7","Panchmukhi Rudraksha Kantha Mala with Vilva Beads (108 + 108 Beads)"
"299","16","Brass Aarti Diya Lamp with Peacock Curved Handle"
"300","1","Blackwood Shiva Statue | Karungali Shiva Idol"
"301","1","Blackwood Sai Baba Statue | Karungali Sai Baba Idol"
"302","16","Brass Lamp with Parrot Design | Brass Parrot Lamp ( 10.5 inch )"
"303","1","Blackwood Hanuman Statue | Karungali Hanuman Idol"
"304","16","Brass Shankh Chakra Namah Diya | Vishnu Shankh Chakra Namah Diya"
"305","1","Black Wood Kaliamman Statue | Karungali Kaliamman Statue"
"306","16","Brass Vishnu Shankh Chakra Diya Set (6 inch)"
"307","1","Karungali Lingam Mala with Silver | Black Wood Lingam Mala"
"308","16","Brass Vishnu Shankh Chakra Diya Set (5 inch)"
"309","1","Blackwood Murugan Vel | Karungali Vel (6 inch)"
"310","16","Brass Vishnu Shankh Chakra Diya Set (4 inch)"
"311","1","Blackwood Murugan Vel | Karungali Vel (9 inch)"
"312","1","Blackwood Nandi Statue | Karungali Nandi Idol"
"313","16","Brass Lotus Kamal Laxmi Diya | Lotus Vilakku"
"314","18","Sumeru Shree Yantra Spatika Baan Lingam With Brass Stand | Crystal Shree Yantra Lingam"
"315","1","Black Wood Lingam with Nandi Statue | Karungali Lingam and Nandi"
"316","16","Brass Kuber Diya with Turtle Base | Kubera Vilakku"
"317","18","Tortoise Sphatik Lingam"
"318","1","Blackwood Lingam | Karungali Lingam"
"319","16","Brass Kuber Diya | Kubera Vilakku (1 Pair)"
"320","18","Mercury Lingam | Parad Shivling | Mercury Shivling (30 to 60 gms)"
"321","8","Brass Vastu Tortoise with Plate"
"322","1","Blackwood Vinayagar Statue | karungali Vinayagar Idol"
"323","16","Brass Lamp with Parrot Design | Brass Parrot Lamp ( 7 inch )"
"324","1","Karungali Stick -  (3 to 4 Inch)"
"325","16","Brass Ganesha Wall Hanging Diya"
"326","8","Vastu Crystal Gomti Chakra Pyramid | Gomati Chakra Pyramid"
"327","16","Brass Peacock Diya with Bell"
"328","16","Brass Diya Lamp with Peacock Curved Handle"
"329","1","Blackwood Mala | Karungali Malai (54 Beads, 8mm)"
"330","1","Black Wood Mala | Karungali Malai (54 Beads, 10mm)"
"331","18","Blue Sunstone Lingam"
"332","16","Brass Peacock Diya with Bell Set"
"333","16","Brass Diya Lamp with Peacock Curved Handle Set"
"334","18","Sumeru Shree Yantra Spatika Baan Lingam With Brass Stand | Crystal Shree Yantra Lingam"
"335","16","Shiva Parvati Wicks | Ardhanareeswara wick  (365 Wicks, 8 Packs)"
"336","16","Panjakavya Lamp | Panchakavya Vilakku (48 Pcs)"
"337","16","Kamatchi Vilakku | Kamatchi Diya"
"338","16","Lakshmi kubera Vilakku Brass - Kubera Raja Lakshmi Lamp, Traditional Lakshmi Deepam"
"339","16","Vellerukku Wicks (48 Wicks, 2.5 Inch)"
"340","16","Banana Wicks | Aratinara Vattulu  (10 Pcs)"
"341","16","Lotus Stem Wicks | Lakshmi Tamara Vattulu | Thamari Thiri (10 Wicks)"
"342","18","Maragatha Lingam Idol | Emerald Lingam | Green Shivling Statue"
"343","18","Mercury Lingam | Parad Shivling | Mercury Shivling (28 to 30 gms)"
"344","18","Crystal Shiva Lingam | Sphatik Shivling"
"345","18","White Marble Stone Shiva Lingam | White Marble shivling"
"346","5","Tulsi Mala Chain | Tulasi Mala (54+1 Beads, 8mm)"
"347","5","Brown Tulsi Mala | Tulasi Mala"
"348","13","Gomti Chakra Bracelet"
"349","13","Gokulashtami Decorative Items"
"350","7","5 Face Rudraksha Mala | Panchmukhi Rudraksha Mala (108 Beads)"
"351","10","Brass Kalpavriksha Tree | Kalpavriksham Tree (Big)"
"352","4","Kaavi Dhoti Set (Dhoti -1, Towel-1) | Ayyappan Kaavi Dhoti"
"353","4","Meenakshi Amman Kumkum | Turmeric Thazhampoo Kumkum - Red (50 gms)"
"354","5","Sphatik Bracelet | Crystal Bracelet (27 Beads, 8 mm)"
"355","4","Varalakshmi Amman Face | Varalakshmi Pooja Idol with Stone Design (Medium) "
"356","5","Lotus Mala with Lakshmi Laminated Photo Frame (54 Beads mala) "
"357","8","Mercury Meru Shree Yantra"
"358","12","Sphatik Mala with Silver String (8 mm, 54+1 Beads)"
"359","7","3 Face Rudraksha | 3 Mukhi Rudraksha"
"360","16","Brass  Raja Astalakshmi Kuber Diya | Lakshmi Kubera Vilakku Brass (Small)"
"361","6","Panchaloha Snake Face Bracelet | Snake Face Kappu"
"362","6","Panchaloha Elephant Bracelet | Panchaloha Elephant Kappu"
"363","1","Black Wood Mala | Karungali Mala with Copper String - (10mm, 108+1 Beads)"
"364","1","Black Wood Bangle | Karungali Valayal ( size 2.6 )"
"365","1","Blackwood Locket | Karungali Thayathu (1.5 inch)"
"366","1","Blackwood Murugan Vel with Stand | Karungali Vel (9 inch)"
"367","1","Blackwood Elephant Keychain | Karungali Elephant Keychain"
"368","1","Blackwood Vel Keychain | Karungali Vel Keychain"
"369","1","Blackwood Damru Rudraksha Keychain | Karungali Damru Rudraksha Keychain"
"370","1","Blackwood Trishul Keychain | Karungali Trishul Keychain"
"371","1","Blackwood Swastik Keychain | Karungali Swastik Keychain"
"372","30","7 Horse Running with Moon 3D Laminated Photo Frame (17*17 inch)"
"373","3","Lord Shiva Parvati, Ganesha and Murugan Laminated Photo Frame( 13.3*10.8 Inch)"
"374","3","Ram Darbar Laminated Photo Frame (13.3*10.7 Inch)"
"375","31","Lord Murugan With Valli Deivanai Laminated Photo Frame (13.3*10.8 Inch)"
"376","3","Venkatachalapathy Laminated Photo Frame"
"377","30","7 Horse Running with Sun 3D Laminated Photo Frame (17*17 inch)"
"378","7","5 Face Rudraksha Mala with Vilva | Panchmukhi Rudraksha Mala with Vilva (51+3, 54 Beads)"
"379","11","Vettiver  mala Design 2 Feet ( PID 379 )"
"380","11","Vettiver Mala 2 Feet ( 380 ) "
"381","12","Blackwood Bead Locket with Silver Cap | Karungali Beads Pendant (20 mm)"
"382","1","Blackwood Shivling Keychain | Karungali Lingam Keychain"
"383","12","Blackwood Mala with Silver String | Karungali Mala (54+1 Beads, 8 mm)"
"384","11","Vetiver Andal Mala | Vetiver Mala (3 Ft)"
"385","7","Shri Maha Lakshmi Rudraksha Mala"
"386","16","Brass Varahi Amman Lamp | Varahi Amman Vilakku"
"387","16","Brass Varahi Amman Lamp | Varahi Amman Vilakku (Model 1)"
"388","11","Vetiver Andal Mala | Vetiver Mala (6 Ft)"
